age,annual_income,employment_length_years,loan_amount,loan_term_months,credit_history_years,num_credit_lines,num_delinquencies_2y,revolving_utilization,debt_to_income,inquiries_6m,home_ownership,loan_purpose,default
24,51401.0,1.2,12222.72,48,7.0,7,0,0.572,0.317,1,OWN,credit_card,0
54,54288.93,5.5,14470.1,36,3.0,5,0,0.321,0.131,0,MORTGAGE,credit_card,0
38,61965.47,6.4,8621.7,36,21.0,3,1,0.352,0.524,0,RENT,credit_card,1
31,55290.58,3.6,24449.6,36,9.8,5,1,0.318,0.235,1,RENT,home_improvement,1
35,42834.07,3.4,7023.68,36,5.8,6,0,0.178,0.339,1,RENT,credit_card,0
47,65426.11,8.2,23152.95,48,17.9,3,2,0.348,0.368,3,MORTGAGE,debt_consolidation,1
32,70009.13,6.9,6064.6,48,4.3,5,0,0.69,0.037,1,MORTGAGE,debt_consolidation,0
30,35567.09,8.5,12847.06,36,3.5,11,0,0.258,0.426,0,MORTGAGE,credit_card,0
36,68494.06,1.6,25056.13,60,3.7,9,0,0.561,0.579,0,RENT,debt_consolidation,1
25,104343.77,13.4,26684.69,36,8.0,4,0,0.565,0.532,0,OWN,credit_card,0
58,79876.89,14.0,18272.72,48,7.4,11,1,0.234,0.461,3,RENT,car,0
32,90472.97,6.3,21385.72,48,11.5,8,0,0.646,0.403,3,MORTGAGE,credit_card,1
47,59549.1,4.4,19063.52,48,4.2,2,0,0.546,0.177,0,OWN,major_purchase,0
40,32374.21,5.3,8525.55,12,10.0,6,1,0.501,0.323,1,MORTGAGE,major_purchase,0
27,34706.96,12.2,14939.41,60,9.1,5,0,0.548,0.449,0,RENT,home_improvement,1
38,64597.98,3.3,12983.51,60,6.7,7,1,0.685,0.532,1,MORTGAGE,major_purchase,0
47,90991.38,1.5,21094.43,48,4.6,2,0,0.265,0.478,0,RENT,credit_card,0
36,250759.99,8.2,21964.15,48,9.5,12,0,0.376,0.486,1,MORTGAGE,other,0
51,92967.2,5.5,11318.22,48,2.9,7,0,0.508,0.676,1,RENT,small_business,1
49,28460.16,11.7,10341.07,24,5.0,7,0,0.4,0.244,0,MORTGAGE,medical,1
48,35525.29,5.8,20550.93,12,9.1,2,0,0.507,0.409,2,RENT,debt_consolidation,1
33,189697.22,18.2,9809.67,24,1.7,9,0,0.252,0.391,0,OWN,debt_consolidation,0
26,48150.47,18.9,21715.45,36,9.0,2,0,0.176,0.546,1,RENT,credit_card,0
31,55610.82,3.9,11921.44,24,5.1,2,0,0.239,0.276,1,RENT,home_improvement,0
40,31944.99,1.1,7887.0,60,3.1,7,0,0.446,0.752,1,RENT,home_improvement,0
44,128130.8,6.4,8704.02,60,0.8,4,0,0.252,0.41,1,RENT,debt_consolidation,1
18,71337.92,1.9,1999.38,48,1.0,6,0,0.184,0.276,1,MORTGAGE,car,0
38,35382.38,1.7,10544.17,36,8.4,5,0,0.186,0.307,1,RENT,credit_card,0
40,31363.38,10.1,16051.58,24,16.2,4,0,0.539,0.439,2,MORTGAGE,debt_consolidation,0
35,64148.9,7.0,50584.53,60,9.7,4,0,0.689,0.5,3,RENT,debt_consolidation,0
52,55509.72,3.4,7553.29,48,4.6,3,0,0.203,0.16,2,MORTGAGE,credit_card,0
43,85618.84,5.8,8911.65,24,8.9,6,0,0.164,0.134,0,MORTGAGE,credit_card,0
52,73191.36,6.1,7326.91,12,9.0,5,0,0.412,0.351,0,OWN,debt_consolidation,0
36,46842.01,6.9,6903.49,60,6.5,5,0,0.474,0.474,2,RENT,medical,1
48,40171.34,11.3,15503.76,48,11.9,1,0,0.541,0.207,1,RENT,car,1
56,49614.17,5.4,8652.47,60,2.9,7,0,0.29,0.346,1,MORTGAGE,credit_card,0
52,40019.64,1.2,7087.7,36,0.6,2,0,0.166,0.523,2,RENT,small_business,1
26,50432.57,14.2,13934.97,48,9.0,7,0,0.284,0.325,3,RENT,medical,1
35,54668.48,5.5,15223.33,60,1.6,7,0,0.27,0.321,0,RENT,debt_consolidation,0
34,33061.94,3.4,7191.27,36,7.2,8,0,0.506,0.303,0,RENT,car,0
43,76639.96,2.0,21032.8,36,26.0,7,1,0.562,0.099,0,OWN,small_business,1
46,44190.48,6.1,29750.0,36,2.6,12,0,0.662,0.256,1,MORTGAGE,major_purchase,1
29,34096.96,4.8,16753.65,12,5.5,2,0,0.454,0.379,0,MORTGAGE,debt_consolidation,0
39,44650.28,2.8,15131.81,48,22.0,4,2,0.233,0.303,1,MORTGAGE,debt_consolidation,0
18,61897.93,10.4,2770.74,60,1.0,3,1,0.411,0.474,1,MORTGAGE,small_business,1
54,56708.02,2.3,6576.37,36,8.8,4,1,0.55,0.241,0,MORTGAGE,home_improvement,1
32,68334.15,2.2,4776.37,36,14.8,7,1,0.063,0.566,2,RENT,debt_consolidation,0
39,88795.42,3.3,19109.84,36,3.5,8,0,0.635,0.544,2,MORTGAGE,credit_card,0
35,111047.92,1.0,19684.91,36,3.1,12,0,0.049,0.415,2,MORTGAGE,home_improvement,1
51,63387.21,1.3,14276.4,12,4.0,8,0,0.807,0.325,4,OWN,home_improvement,1
18,30086.4,2.4,9405.46,36,1.0,7,0,0.368,0.375,2,OWN,credit_card,0
38,46722.87,3.9,9329.15,24,11.2,7,0,0.245,0.409,1,MORTGAGE,medical,1
37,31182.89,2.4,100000.0,48,20.0,8,0,0.481,0.461,2,MORTGAGE,car,1
33,137760.2,6.2,17666.6,36,1.1,3,0,0.213,0.53,1,RENT,credit_card,0
57,161630.88,2.7,10341.8,36,4.3,6,2,0.308,0.387,0,OWN,other,1
28,77471.95,6.5,14674.79,36,3.8,0,0,0.175,0.579,3,RENT,small_business,0
46,86868.64,3.0,5072.79,60,3.2,4,2,0.579,0.535,1,MORTGAGE,credit_card,0
42,62194.31,6.0,15420.72,24,7.6,4,0,0.107,0.334,0,RENT,credit_card,0
52,66259.28,13.4,9407.64,48,22.5,5,0,0.949,0.234,2,RENT,credit_card,0
31,22502.92,7.0,14811.07,60,9.5,9,0,0.437,0.227,4,MORTGAGE,major_purchase,1
30,52017.59,1.1,6192.59,48,13.0,3,1,0.189,0.198,3,RENT,debt_consolidation,0
50,33368.44,2.4,32649.02,24,9.0,7,1,0.519,0.121,1,OWN,credit_card,1
43,63243.4,1.4,6433.6,60,1.3,4,0,0.177,0.301,1,MORTGAGE,other,0
21,52428.97,1.7,8908.22,48,4.0,5,0,0.091,0.129,2,RENT,other,0
32,158063.49,10.0,5648.12,60,1.4,5,0,0.429,0.623,1,RENT,credit_card,0
42,89692.75,4.6,7074.17,36,1.7,7,1,0.118,0.432,1,MORTGAGE,credit_card,0
47,63353.26,4.9,10067.84,48,1.2,3,0,0.213,0.46,1,RENT,credit_card,0
31,46778.7,10.1,11267.8,24,13.5,2,1,0.566,0.35,0,RENT,medical,1
18,136190.76,2.7,9463.4,36,1.0,3,0,0.236,0.384,0,OWN,small_business,0
44,53291.12,6.1,14840.79,36,3.1,3,0,0.546,0.53,2,MORTGAGE,home_improvement,0
25,65018.08,8.3,44891.48,60,8.0,7,0,0.237,0.223,2,RENT,credit_card,1
18,55450.02,4.2,9732.61,60,1.0,4,0,0.216,0.556,3,MORTGAGE,car,1
18,43378.33,14.8,8099.25,48,1.0,3,1,0.448,0.463,0,MORTGAGE,home_improvement,0
47,55275.13,4.4,24992.61,24,13.1,2,0,0.265,0.07,0,MORTGAGE,medical,0
39,18414.95,2.1,6194.52,48,6.2,7,1,0.745,0.237,1,MORTGAGE,other,1
36,23127.13,2.9,29434.14,36,3.8,5,0,0.3,0.169,1,MORTGAGE,other,0
53,65663.39,5.8,3637.82,48,12.6,2,0,0.544,0.521,0,OWN,car,0
45,128349.18,8.4,19946.87,60,7.4,6,0,0.36,0.107,2,RENT,home_improvement,0
56,65612.51,2.3,6197.54,36,6.9,2,0,0.464,0.125,0,MORTGAGE,credit_card,0
23,36453.66,11.7,6081.08,48,3.2,8,0,0.468,0.29,1,RENT,credit_card,0
38,24500.05,2.2,13857.18,60,5.6,1,0,0.591,0.618,0,OWN,home_improvement,0
20,83407.21,12.8,18928.89,24,3.0,5,0,0.343,0.407,5,OWN,debt_consolidation,1
35,39657.79,3.1,16585.06,48,1.9,7,0,0.511,0.135,1,MORTGAGE,debt_consolidation,0
35,77171.04,0.4,7243.08,24,1.7,3,0,0.133,0.385,1,MORTGAGE,car,0
45,67132.65,7.8,18377.16,12,11.3,7,0,0.441,0.396,0,RENT,small_business,0
39,70478.66,0.8,6633.84,48,5.8,2,0,0.386,0.317,0,MORTGAGE,small_business,0
45,55186.9,30.7,9397.32,60,13.8,7,0,0.325,0.18,0,RENT,home_improvement,0
46,66903.36,5.7,7737.71,12,11.8,9,1,0.332,0.244,1,RENT,major_purchase,1
62,50731.39,1.8,9996.49,48,2.0,3,0,0.266,0.53,1,RENT,car,0
35,38199.64,4.0,7903.79,48,4.7,3,0,0.569,0.351,1,RENT,car,0
28,31890.89,1.6,12181.3,48,5.9,2,0,0.192,0.265,2,RENT,debt_consolidation,1
41,14592.24,7.4,4857.02,36,11.0,5,0,0.354,0.14,2,RENT,credit_card,1
29,49039.91,1.1,15578.88,36,5.0,7,0,0.408,0.467,2,MORTGAGE,debt_consolidation,1
54,124948.63,0.9,8089.36,36,8.6,4,0,0.476,0.281,1,MORTGAGE,credit_card,0
35,80946.53,14.8,5809.91,36,4.1,4,0,0.185,0.422,2,RENT,debt_consolidation,0
32,61404.6,2.3,20319.98,60,0.9,3,1,0.281,0.246,1,MORTGAGE,major_purchase,0
33,36181.28,6.3,33404.06,48,16.0,8,0,0.88,0.307,0,MORTGAGE,home_improvement,1
46,93764.03,4.4,15271.03,36,5.7,2,1,0.244,0.387,0,OWN,home_improvement,0
36,50735.44,3.5,12628.9,48,13.3,8,0,0.445,0.755,0,RENT,credit_card,0
31,128825.48,3.7,8662.09,48,5.3,2,0,0.213,0.413,2,RENT,debt_consolidation,0
56,31583.88,8.5,4920.35,48,1.6,7,0,0.281,0.138,2,MORTGAGE,small_business,0
29,35864.99,4.7,15460.46,12,12.0,5,0,0.687,0.548,2,RENT,car,0
38,33996.11,1.9,4279.2,48,1.2,1,0,0.612,0.372,1,MORTGAGE,home_improvement,1
45,23976.63,1.8,14443.98,24,13.2,11,1,0.208,0.456,1,RENT,home_improvement,1
20,32358.29,11.8,3873.81,24,3.0,3,0,0.252,0.371,0,RENT,small_business,0
43,57340.87,8.8,12353.62,48,6.9,9,0,0.158,0.267,0,RENT,other,0
26,36617.79,14.6,23671.1,60,3.5,3,0,0.626,0.426,0,RENT,home_improvement,0
47,12000.0,8.9,13612.81,36,6.2,2,1,0.441,0.312,0,RENT,credit_card,0
27,97816.67,2.3,21254.24,36,6.9,6,0,0.775,0.306,1,RENT,debt_consolidation,0
46,21455.76,4.3,26456.14,48,1.9,4,2,0.849,0.432,1,RENT,home_improvement,1
50,74912.46,12.0,11200.82,12,7.5,4,0,0.81,0.805,0,OWN,debt_consolidation,1
47,55114.49,2.0,33270.88,48,4.5,6,1,0.52,0.479,1,MORTGAGE,credit_card,1
41,173607.98,1.2,9236.66,12,2.4,5,0,0.236,0.152,1,RENT,major_purchase,0
35,93744.34,15.4,6075.28,24,7.9,3,1,0.494,0.412,1,RENT,other,0
32,41046.77,14.9,6043.79,48,4.7,7,0,0.613,0.262,0,MORTGAGE,car,0
54,36822.53,12.4,19380.78,36,10.2,7,1,0.238,0.024,0,MORTGAGE,car,0
30,123809.61,11.8,9447.0,24,8.6,4,0,0.147,0.383,1,MORTGAGE,credit_card,1
27,24059.16,9.8,8427.38,36,7.9,5,0,0.324,0.234,1,MORTGAGE,small_business,0
45,60173.3,12.6,17054.73,48,2.2,4,0,0.301,0.386,0,OWN,credit_card,0
29,50406.92,2.5,4289.5,36,12.0,5,0,0.251,0.382,1,RENT,small_business,0
28,44856.58,4.1,52835.67,36,5.7,2,1,0.474,0.442,1,RENT,medical,0
22,65803.79,3.4,5426.37,24,5.0,7,1,0.572,0.179,0,RENT,credit_card,0
33,60129.62,7.0,15822.2,36,10.1,8,0,0.358,0.274,1,MORTGAGE,debt_consolidation,0
37,69673.16,1.2,15149.01,12,9.5,6,0,0.34,0.316,0,RENT,medical,0
41,58479.8,12.6,10031.89,48,3.1,4,1,0.281,0.55,1,MORTGAGE,small_business,0
48,68167.61,1.2,21288.1,24,7.8,4,0,0.204,0.186,0,RENT,credit_card,1
44,57031.03,9.9,17925.74,60,4.9,5,1,0.492,0.474,1,OWN,major_purchase,0
36,37696.22,3.1,10241.48,36,5.9,3,0,0.266,0.612,0,MORTGAGE,credit_card,0
36,54295.72,6.9,15927.05,48,8.0,2,0,0.957,0.038,1,RENT,other,1
44,36573.8,6.0,2917.28,36,4.4,9,1,0.496,0.641,1,OWN,major_purchase,0
52,35270.17,0.7,8594.05,24,6.8,6,1,0.531,0.214,0,RENT,debt_consolidation,0
39,45031.5,6.2,15238.29,36,5.3,4,0,0.22,0.082,0,RENT,medical,0
33,50732.26,2.2,7357.1,24,5.2,7,0,0.519,0.059,3,MORTGAGE,credit_card,0
27,55236.21,0.8,10410.36,36,3.8,6,0,0.411,0.506,3,RENT,major_purchase,1
22,89680.48,5.6,9785.58,36,5.0,5,0,0.144,0.244,0,MORTGAGE,small_business,0
45,41185.63,1.0,3923.1,36,6.7,4,1,0.496,0.349,3,MORTGAGE,debt_consolidation,0
44,60371.27,14.8,18889.68,36,7.0,13,0,0.189,0.238,0,MORTGAGE,credit_card,0
44,57809.9,2.2,11819.34,24,15.7,2,1,0.457,0.348,1,RENT,debt_consolidation,0
37,38764.28,5.8,5395.13,24,5.1,4,0,0.541,0.255,2,RENT,home_improvement,0
53,56418.78,5.3,33151.37,36,6.7,7,0,0.267,0.423,1,MORTGAGE,small_business,1
33,94042.0,9.9,12253.17,48,7.3,4,0,0.6,0.181,0,MORTGAGE,credit_card,0
49,60028.72,3.0,12628.14,24,5.5,2,0,0.783,0.518,1,MORTGAGE,small_business,1
38,61366.61,3.3,10325.27,24,4.8,6,0,0.353,0.177,1,MORTGAGE,medical,0
31,36756.47,5.4,34322.53,36,0.3,7,1,0.531,0.186,0,MORTGAGE,debt_consolidation,1
45,159990.92,2.4,19138.9,60,11.8,5,0,0.655,0.235,1,RENT,medical,0
43,37926.45,3.5,7177.14,36,4.2,6,0,0.249,0.352,2,RENT,debt_consolidation,0
42,21649.1,2.6,3146.09,48,8.9,4,0,0.551,0.493,1,OWN,major_purchase,1
39,86951.11,6.4,16441.58,60,9.0,2,0,0.397,0.335,2,OWN,credit_card,0
38,50860.95,8.5,10137.28,36,1.7,8,0,0.661,0.496,1,RENT,credit_card,0
64,45859.01,10.7,8834.54,36,13.0,8,0,0.548,0.148,1,MORTGAGE,credit_card,0
51,40132.65,10.2,10001.87,48,3.7,2,0,0.302,0.517,4,OWN,debt_consolidation,1
46,151667.07,7.1,3712.5,36,8.0,7,0,0.853,0.313,1,RENT,debt_consolidation,0
39,65842.75,7.1,11873.92,60,6.5,3,0,0.425,0.338,1,RENT,credit_card,0
49,73303.47,7.0,9417.74,36,9.3,3,0,0.24,0.119,2,RENT,small_business,0
44,59245.11,4.8,8367.8,60,6.5,3,1,0.328,0.253,1,MORTGAGE,debt_consolidation,0
38,62851.32,1.8,11382.87,48,7.5,2,0,0.65,0.217,2,RENT,debt_consolidation,0
35,116919.8,12.9,27883.56,24,8.8,7,0,0.784,0.427,0,MORTGAGE,home_improvement,1
37,47194.37,6.9,8932.5,24,1.6,3,0,0.591,0.311,1,RENT,credit_card,0
18,24311.0,8.7,23180.78,36,1.0,6,0,0.911,0.619,0,MORTGAGE,debt_consolidation,0
40,87328.32,3.2,12057.2,36,13.1,4,1,0.284,0.508,0,RENT,debt_consolidation,0
33,71195.57,18.7,24433.8,12,8.6,8,0,0.423,0.647,0,OWN,other,1
56,57491.3,11.8,10549.06,60,3.5,4,0,0.31,0.42,0,RENT,credit_card,0
38,70186.71,3.7,6481.4,24,3.3,3,0,0.29,0.158,1,RENT,home_improvement,0
25,44182.79,3.1,39252.01,48,4.1,4,0,0.066,0.074,1,RENT,debt_consolidation,0
37,54796.46,8.6,20136.74,36,11.8,4,0,0.439,0.256,0,MORTGAGE,car,0
26,50390.85,4.8,25831.55,36,5.6,5,0,0.4,0.635,0,OWN,major_purchase,1
43,39131.44,6.3,15701.9,36,2.5,7,0,0.583,0.351,1,RENT,debt_consolidation,1
41,104197.67,12.4,11368.26,60,6.6,6,0,0.256,0.345,0,MORTGAGE,debt_consolidation,0
49,24915.81,6.2,19821.16,36,5.1,10,1,0.153,0.622,2,RENT,debt_consolidation,1
29,198488.25,4.6,15568.22,36,12.0,6,0,0.279,0.441,3,OWN,debt_consolidation,0
38,87776.51,7.2,7959.82,36,2.9,3,0,0.445,0.351,2,RENT,credit_card,0
23,20376.01,1.3,14507.41,36,5.5,3,0,0.286,0.335,3,MORTGAGE,home_improvement,0
46,47892.23,6.0,8906.26,36,4.8,5,1,0.534,0.214,1,RENT,debt_consolidation,0
44,49379.95,1.5,5069.01,36,10.2,8,0,0.466,0.193,0,RENT,medical,0
43,67207.33,8.1,10548.91,48,9.6,8,1,0.244,0.375,0,MORTGAGE,other,0
38,31440.18,4.7,7614.75,60,10.1,6,1,0.36,0.191,2,RENT,major_purchase,0
43,55139.08,14.5,38619.88,60,8.1,6,0,0.362,0.258,3,RENT,credit_card,0
56,50684.95,11.2,5810.71,24,6.5,7,0,0.642,0.388,0,MORTGAGE,credit_card,1
35,36109.45,6.3,8423.99,36,18.0,4,0,0.513,0.437,1,OWN,credit_card,0
40,33449.3,15.4,7771.37,36,5.9,6,0,0.607,0.297,0,RENT,major_purchase,0
26,89800.21,3.5,17494.47,24,1.1,4,0,0.556,0.166,1,RENT,major_purchase,1
28,21308.89,2.3,12730.13,48,5.0,5,0,0.135,0.683,1,RENT,debt_consolidation,1
39,70462.32,4.4,34363.79,60,5.1,5,0,0.222,0.421,0,MORTGAGE,credit_card,1
50,84004.92,4.4,27044.94,24,9.2,5,0,0.18,0.522,0,OWN,major_purchase,1
35,48040.17,4.6,11653.64,24,7.1,8,0,0.667,0.136,2,RENT,major_purchase,0
35,55759.61,5.5,5709.83,60,16.0,2,0,0.332,0.426,2,RENT,credit_card,0
34,102736.45,1.1,13698.86,36,5.8,5,0,0.554,0.545,3,RENT,small_business,0
32,36766.11,2.8,12586.68,36,5.8,7,0,0.278,0.271,0,MORTGAGE,debt_consolidation,1
41,38913.29,3.5,4467.73,48,24.0,6,0,0.611,0.553,0,RENT,small_business,0
22,41253.2,15.2,9692.74,24,5.0,4,0,0.312,0.597,0,MORTGAGE,credit_card,0
52,102839.94,3.5,12333.13,36,4.2,1,0,0.766,0.492,2,MORTGAGE,small_business,0
31,110278.2,3.7,11228.13,24,1.6,5,0,0.682,0.542,0,MORTGAGE,major_purchase,0
46,25141.13,8.4,6083.12,36,7.2,4,0,0.841,0.312,2,RENT,debt_consolidation,1
24,94224.21,4.5,10859.06,24,7.0,6,0,0.61,0.258,1,RENT,other,0
45,84999.41,17.8,10196.3,48,4.6,3,0,0.476,0.37,1,MORTGAGE,car,0
45,127322.33,9.0,14661.6,24,3.5,5,1,0.068,0.468,0,RENT,debt_consolidation,0
42,66957.24,8.1,6335.91,48,5.1,8,0,0.355,0.39,2,MORTGAGE,major_purchase,0
27,52873.47,1.3,22094.73,36,6.1,6,0,0.305,0.25,0,RENT,major_purchase,1
41,101708.81,6.5,14734.83,48,8.9,4,0,0.198,0.416,2,MORTGAGE,other,0
25,79570.37,5.8,4946.28,60,2.2,6,1,0.31,0.423,0,MORTGAGE,credit_card,1
35,186221.88,10.2,12861.37,36,3.8,2,1,0.496,0.142,3,RENT,debt_consolidation,0
49,91792.82,8.2,11218.88,48,6.9,8,2,0.358,0.436,0,OWN,credit_card,0
47,58950.38,7.3,10394.37,48,2.0,10,0,0.788,0.264,1,MORTGAGE,credit_card,0
38,28402.79,6.8,4529.95,48,21.0,2,0,0.326,0.777,3,OWN,debt_consolidation,0
27,39359.61,3.5,9039.39,36,10.0,4,1,0.539,0.419,0,RENT,debt_consolidation,1
45,24593.19,2.3,7473.07,60,11.3,2,1,0.414,0.452,1,RENT,small_business,1
38,48132.64,6.9,8355.14,12,10.1,10,0,0.611,0.153,0,RENT,home_improvement,0
18,90159.64,2.4,18853.18,36,1.0,7,2,0.636,0.367,1,RENT,debt_consolidation,1
47,54067.09,5.4,7306.45,48,1.0,6,1,0.189,0.425,1,OWN,small_business,0
38,95030.09,13.6,40758.26,36,10.6,9,0,0.249,0.062,0,RENT,credit_card,0
51,65229.4,15.4,48353.37,36,27.3,3,0,0.488,0.489,0,RENT,credit_card,0
26,43403.67,4.5,13573.53,24,9.0,3,1,0.299,0.066,0,MORTGAGE,debt_consolidation,1
18,56851.27,10.8,5061.41,60,1.0,5,0,0.285,0.694,0,MORTGAGE,home_improvement,1
41,70238.59,5.4,5060.1,60,9.3,2,0,0.324,0.059,1,RENT,major_purchase,0
41,58487.77,2.3,14539.88,60,3.9,6,0,0.392,0.059,0,RENT,debt_consolidation,0
19,58857.6,5.4,9520.83,12,2.0,7,0,0.05,0.554,1,MORTGAGE,small_business,0
27,35490.57,22.0,7074.91,24,6.6,7,1,0.489,0.455,3,MORTGAGE,debt_consolidation,1
68,42696.11,7.8,11021.65,36,7.9,4,1,0.285,0.356,1,RENT,medical,1
35,187616.16,2.7,5017.19,24,9.0,4,0,0.196,0.139,2,MORTGAGE,car,0
46,106474.05,6.9,45704.17,36,2.3,2,1,0.501,0.235,1,MORTGAGE,debt_consolidation,0
31,24086.04,9.2,15447.49,48,3.7,2,0,0.52,0.279,5,OWN,debt_consolidation,0
18,14737.74,10.7,29215.31,24,1.0,5,0,0.143,0.127,0,MORTGAGE,major_purchase,0
36,56494.91,4.4,19490.74,12,19.0,6,1,0.32,0.54,0,MORTGAGE,debt_consolidation,1
35,88557.74,15.6,17275.18,60,18.0,9,0,0.553,0.203,1,OWN,credit_card,0
34,40701.98,5.0,6414.72,36,3.7,5,0,0.207,0.306,0,RENT,credit_card,0
37,95026.62,6.9,2254.62,12,8.9,6,0,0.692,0.426,2,MORTGAGE,debt_consolidation,0
41,55983.37,1.3,20441.05,36,14.2,9,0,0.324,0.723,1,MORTGAGE,debt_consolidation,0
36,49529.13,12.8,11062.2,48,1.9,8,0,0.62,0.242,4,RENT,major_purchase,1
24,82113.96,1.9,41123.89,48,4.3,4,0,0.741,0.071,1,MORTGAGE,credit_card,0
43,40435.7,8.8,8455.25,36,13.7,4,0,0.687,0.137,1,RENT,major_purchase,1
18,46272.89,3.7,11090.69,48,1.0,6,0,0.603,0.042,1,RENT,medical,0
18,78322.64,1.9,8945.84,36,1.0,1,3,0.151,0.197,0,MORTGAGE,debt_consolidation,0
46,53248.89,3.9,24364.58,36,2.2,4,0,0.552,0.448,0,MORTGAGE,major_purchase,0
44,154790.36,1.2,2565.02,60,10.5,6,2,0.271,0.406,3,RENT,other,0
37,79348.43,3.1,13879.02,60,6.6,5,0,0.581,0.514,0,MORTGAGE,debt_consolidation,0
23,76561.35,3.4,7396.01,36,4.9,4,1,0.659,0.429,1,RENT,credit_card,1
30,52721.17,2.0,11443.94,36,1.7,1,0,0.241,0.37,1,RENT,car,0
35,87650.72,6.7,27833.35,36,3.1,1,0,0.232,0.175,1,RENT,credit_card,1
20,45368.16,5.2,5751.35,36,3.0,5,0,0.485,0.536,2,RENT,car,1
30,63278.93,6.6,5689.85,60,4.3,7,0,0.474,0.609,0,MORTGAGE,debt_consolidation,0
45,32729.72,3.5,33847.67,48,4.2,5,0,0.375,0.489,1,RENT,major_purchase,1
54,95960.58,4.6,8859.64,36,6.1,3,0,0.247,0.317,1,OWN,car,1
33,63565.91,1.8,7953.0,48,6.6,5,1,0.459,0.21,0,MORTGAGE,credit_card,1
46,161196.95,3.2,8029.74,24,16.3,3,0,0.143,0.55,1,MORTGAGE,debt_consolidation,0
18,201947.72,1.9,4102.11,60,1.0,4,0,0.219,0.123,0,MORTGAGE,small_business,0
45,82439.97,4.2,27879.86,36,1.0,6,0,0.496,0.177,2,MORTGAGE,car,0
29,56254.08,3.2,26006.62,36,5.0,5,0,0.353,0.694,1,MORTGAGE,debt_consolidation,0
41,32198.16,8.8,3872.56,12,4.0,5,0,0.385,0.384,0,MORTGAGE,debt_consolidation,0
35,89108.71,9.3,8912.08,48,9.6,1,1,0.206,0.412,0,OWN,credit_card,0
53,60818.94,6.1,4272.67,60,11.2,2,0,0.372,0.592,1,MORTGAGE,debt_consolidation,1
28,72832.62,9.1,17762.23,36,10.2,2,0,0.569,0.121,0,MORTGAGE,major_purchase,0
45,140278.23,6.5,15678.0,36,7.1,5,0,0.72,0.789,0,MORTGAGE,debt_consolidation,1
35,34425.99,3.6,6023.68,36,14.2,4,0,0.28,0.385,0,MORTGAGE,small_business,0
36,32585.83,5.7,8390.06,36,3.9,8,0,0.653,0.084,1,RENT,credit_card,0
36,47570.39,14.0,24650.29,48,3.0,4,0,0.155,0.396,1,RENT,medical,0
29,85106.67,10.2,10063.86,24,6.0,4,1,0.427,0.666,0,RENT,credit_card,1
38,73510.02,5.4,7533.77,60,4.4,8,0,0.46,0.188,1,OWN,medical,0
37,33102.74,1.2,19577.37,36,1.5,1,0,0.382,0.344,2,RENT,medical,1
41,82133.73,17.0,11471.96,36,2.2,5,0,0.831,0.308,0,MORTGAGE,home_improvement,1
39,27982.45,4.8,23683.53,60,9.9,5,1,0.421,0.652,1,MORTGAGE,medical,1
47,34174.74,11.1,19447.54,36,4.1,7,0,0.711,0.321,0,RENT,major_purchase,1
48,50843.04,5.3,16184.81,48,9.3,3,0,0.407,0.586,0,RENT,other,1
26,39959.14,0.9,6444.8,36,9.0,6,1,0.533,0.55,0,OWN,credit_card,1
48,88381.92,12.2,24354.55,24,13.9,6,0,0.32,0.206,1,OWN,home_improvement,0
25,63418.33,6.6,10988.0,60,3.1,5,0,0.049,0.557,1,MORTGAGE,car,0
44,143065.61,1.3,11466.95,36,7.1,5,0,0.367,0.409,0,MORTGAGE,debt_consolidation,0
45,47289.71,4.4,4441.68,12,15.1,4,0,0.378,0.212,2,MORTGAGE,car,0
18,50654.78,6.7,7284.55,60,1.0,6,0,0.427,0.577,1,OWN,medical,1
39,105420.29,6.1,6300.43,48,15.5,3,0,0.227,0.329,2,MORTGAGE,credit_card,0
33,51533.82,10.2,14868.03,36,4.6,5,1,0.153,0.252,0,RENT,major_purchase,0
30,123217.07,6.6,18826.49,60,3.1,6,0,0.483,0.029,0,OWN,car,0
53,72944.6,5.5,9286.45,36,5.7,6,1,0.298,0.82,1,OWN,credit_card,0
31,14853.15,2.2,11928.48,36,8.4,7,0,0.588,0.199,1,RENT,car,0
29,103534.87,15.9,10511.09,24,12.0,5,0,0.12,0.119,0,MORTGAGE,home_improvement,0
39,89500.52,4.3,31568.31,48,22.0,3,2,0.411,0.2,0,RENT,home_improvement,0
46,91421.22,3.4,2712.36,36,6.7,3,1,0.429,0.421,0,RENT,major_purchase,0
36,18938.68,2.4,5698.49,36,9.2,5,0,0.273,0.068,0,MORTGAGE,credit_card,0
51,37622.42,3.1,9182.83,36,4.6,6,1,0.275,0.138,4,MORTGAGE,debt_consolidation,1
44,39191.39,9.7,13237.07,48,3.0,3,0,0.223,0.113,2,RENT,debt_consolidation,0
18,34111.27,1.6,8123.99,48,1.0,6,0,0.799,0.488,2,RENT,home_improvement,1
32,141217.62,4.0,4112.42,36,8.6,5,0,0.447,0.269,4,MORTGAGE,credit_card,0
32,53826.85,0.9,16272.59,36,8.2,3,0,0.549,0.209,1,MORTGAGE,debt_consolidation,0
43,53097.84,2.8,30183.64,24,4.4,4,0,0.415,0.384,0,OWN,major_purchase,0
18,73394.52,3.3,4270.09,36,1.0,6,0,0.389,0.207,1,RENT,home_improvement,0
